# Native shell ownership inventory for OPT-186.
#
# Columns:
# - pattern: exact module path under src/app_core/native_shell/composition, or a directory prefix ending in /**
# - owner: radiant_generic, compat_adapter, wavecrate_composition, or wavecrate_fixture
# - move_scope: stay_radiant, compat_boundary, or the Linear child issue that owns the move
# - notes: dependency and relocation notes without tabs
#
# The app_core::native_shell::composition::tests::contracts::native_shell_ownership_inventory_covers_every_module
# regression requires every *.rs module under this directory to match exactly one pattern.
pattern	owner	move_scope	notes
layout_adapter/waveform_header.rs	wavecrate_composition	OPT-190	Waveform header layout moves with waveform header composition.
browser_chrome_surface.rs	wavecrate_composition	OPT-188	Browser chrome surface projection moves with browser chrome composition.
browser_chrome_surface_helpers.rs	wavecrate_composition	OPT-188	Browser chrome surface helpers move with browser chrome composition.
browser_chrome_surface_tests.rs	wavecrate_fixture	OPT-191	Wavecrate browser chrome fixture now lives beside Wavecrate composition and must not return to Radiant native_shell.
sidebar_surface.rs	wavecrate_composition	OPT-189	Sidebar surface projection moves with source and folder composition.
sidebar_surface_helpers.rs	wavecrate_composition	OPT-189	Sidebar surface helpers move with source and folder composition.
sidebar_surface_tests.rs	wavecrate_fixture	OPT-191	Wavecrate sidebar fixture now lives beside Wavecrate composition and must not return to Radiant native_shell.
status_surface.rs	wavecrate_composition	OPT-187	Status surface projection moves with top, status, options, and overlay composition.
top_bar_surface.rs	wavecrate_composition	OPT-187	Top bar surface projection moves with top, status, options, and overlay composition.
waveform_header_surface.rs	wavecrate_composition	OPT-190	Waveform header surface projection moves with waveform composition.
waveform_toolbar_surface.rs	wavecrate_composition	OPT-190	Waveform toolbar surface projection moves with waveform composition.
state.rs	compat_adapter	OPT-191	NativeShellState facade coordinates Wavecrate model sync, frame build, automation, and retained caches.
state/automation.rs	wavecrate_composition	OPT-191	Automation facade moves after surface DTO and composition moves settle.
state/automation/**	wavecrate_composition	OPT-191	Wavecrate automation nodes move after surface DTO and composition moves settle.
state/browser_rows.rs	wavecrate_composition	OPT-188	Browser row projection facade moves with browser rows and tags.
state/browser_rows/**	wavecrate_composition	OPT-188	Browser row projection, windowing, scrollbars, truncation, and visuals move with browser rows and tags.
state/browser_pill_editor.rs	wavecrate_composition	OPT-188	Shared browser pill-editor geometry moves with browser rows, rendering, and hit testing.
state/cache.rs	compat_adapter	OPT-191	Retained cache accessors are Wavecrate-shaped and should be split only after surface moves expose generic pieces.
state/cache_types.rs	compat_adapter	OPT-191	Retained cache type facade is Wavecrate-shaped and should be split only after surface moves expose generic pieces.
state/cache_types/**	compat_adapter	OPT-191	Retained cache keys and segment sinks are Wavecrate-shaped; split generic helpers after surface moves.
state/frame_build.rs	compat_adapter	OPT-191	Frame-build facade ties all Wavecrate surfaces together until final shell composition relocation.
state/frame_build/browser/**	wavecrate_composition	OPT-188	Browser frame-build panels, rows, and tabs move with browser composition.
state/frame_build/chrome/mod.rs	wavecrate_composition	OPT-187	Shell chrome frame-build facade moves with top, status, options, and overlay composition.
state/frame_build/chrome/modals.rs	wavecrate_composition	OPT-187	Modal chrome frame build moves with overlay composition.
state/frame_build/chrome/shell.rs	wavecrate_composition	OPT-187	Shell background frame build moves with top, status, options, and overlay composition.
state/frame_build/chrome/top_bar.rs	wavecrate_composition	OPT-187	Top bar frame build moves with top bar composition.
state/frame_build/chrome/sidebar.rs	wavecrate_composition	OPT-189	Sidebar frame-build facade moves with source and folder composition.
state/frame_build/chrome/sidebar_parts/**	wavecrate_composition	OPT-189	Sidebar source, folder, header, footer, and row frame-build pieces move with source and folder composition.
state/frame_build/map.rs	wavecrate_composition	OPT-188	Browser map frame build moves with browser map composition.
state/frame_build/overlay/browser.rs	wavecrate_composition	OPT-188	Browser overlay frame build moves with browser composition.
state/frame_build/overlay/focus.rs	wavecrate_composition	OPT-187	Focus overlay frame build moves with overlay composition.
state/frame_build/overlay/focus/**	wavecrate_composition	OPT-187	Focus overlay shared helpers move with overlay composition.
state/frame_build/overlay/mod.rs	wavecrate_composition	OPT-187	Overlay frame-build facade moves with overlay composition.
state/frame_build/overlay/waveform.rs	wavecrate_composition	OPT-190	Waveform overlay frame build moves with waveform composition.
state/frame_build/status_bar.rs	wavecrate_composition	OPT-187	Status bar frame build moves with status bar composition.
state/frame_build/waveform.rs	wavecrate_composition	OPT-190	Waveform frame build moves with waveform composition.
state/frame_entrypoints.rs	compat_adapter	OPT-191	Top-level frame entrypoints remain until all surface composition has moved.
state/frame_text_cache.rs	compat_adapter	OPT-191	Frame text cache is retained-shell glue; split generic cache utility only after composition moves.
state/hit_testing/browser.rs	wavecrate_composition	OPT-188	Browser hit testing moves with browser rows and map composition.
state/hit_testing/browser/**	wavecrate_composition	OPT-188	Browser hit-test cache keys and pill-editor action routing move with browser composition.
state/hit_testing/map.rs	wavecrate_composition	OPT-188	Browser map hit testing moves with browser map composition.
state/hit_testing/mod.rs	compat_adapter	OPT-191	Hit-testing facade remains until surface-specific hit tests move.
state/hit_testing/chrome.rs	wavecrate_composition	OPT-187	Shell chrome hit testing moves with top, status, options, and overlay composition.
state/hit_testing/chrome/prompts.rs	wavecrate_composition	OPT-187	Prompt hit testing moves with overlay composition.
state/hit_testing/chrome/top_bar.rs	wavecrate_composition	OPT-187	Top bar hit testing moves with top bar composition.
state/hit_testing/chrome/source_controls.rs	wavecrate_composition	OPT-189	Source control hit testing moves with source and folder composition.
state/hit_testing/chrome/source_controls/**	wavecrate_composition	OPT-189	Source control dropdown hit testing and option geometry moves with source and folder composition.
state/hit_testing/chrome/folders.rs	wavecrate_composition	OPT-189	Folder hit-testing facade moves with source and folder composition.
state/hit_testing/chrome/folders/**	wavecrate_composition	OPT-189	Folder hit testing moves with source and folder composition.
state/hit_testing/hover.rs	compat_adapter	OPT-191	Shared hover routing remains until surface-specific hit tests move.
state/hit_testing/waveform.rs	wavecrate_composition	OPT-190	Waveform hit testing moves with waveform composition.
state/hit_testing/waveform/**	wavecrate_composition	OPT-190	Waveform toolbar hit testing moves with waveform composition.
state/model_sync.rs	compat_adapter	OPT-191	AppModel to retained-state sync remains until Wavecrate owns the shell facade.
state/motion_overlay.rs	wavecrate_composition	OPT-190	Motion overlay state is dominated by waveform/playhead behavior and moves with waveform composition.
state/motion_overlay/**	wavecrate_composition	OPT-190	Playhead trail state moves with waveform composition.
state/options_panel.rs	wavecrate_composition	OPT-187	Options panel facade moves with top, status, options, and overlay composition.
state/options_panel/**	wavecrate_composition	OPT-187	Options panel actions, geometry, render, and style move with options composition.
state/overlays.rs	wavecrate_composition	OPT-187	Overlay facade moves with top, status, options, and overlay composition.
state/overlays/**	wavecrate_composition	OPT-187	Drag, progress, prompt, and overlay geometry move with overlay composition.
state/runtime_state.rs	compat_adapter	OPT-191	Small retained runtime-state support types stay with NativeShellState until final shell facade ownership is split.
state/svg_icons.rs	wavecrate_composition	OPT-190	Toolbar icon identifiers and rasterization move with waveform/browser/sidebar toolbar composition; parser stays generic.
state/tests/**	wavecrate_fixture	OPT-191	Wavecrate native-shell compatibility fixture pack; keep relocation separate from production surface moves.
state/text_fields.rs	wavecrate_composition	OPT-188	Browser/search text-field state moves with browser chrome composition.
state/toolbar_helpers.rs	compat_adapter	OPT-191	Toolbar helper facade remains until browser, sidebar, and waveform toolbar helpers move.
state/toolbar_helpers/browser_row_decor/**	wavecrate_composition	OPT-188	Browser row tags, markers, ratings, similarity, and playback-age decoration move with browser rows and tags.
state/toolbar_helpers/browser_toolbar/**	wavecrate_composition	OPT-188	Browser toolbar buttons, colors, layout, and actions move with browser chrome composition.
state/toolbar_helpers/sidebar_toolbar.rs	wavecrate_composition	OPT-189	Sidebar toolbar helper moves with source and folder composition.
state/toolbar_helpers/waveform_toolbar.rs	wavecrate_composition	OPT-190	Waveform toolbar helper moves with waveform composition.
state/toolbar_helpers/waveform_visuals.rs	wavecrate_composition	OPT-190	Waveform visuals helper moves with waveform composition.
state/waveform_segments/**	wavecrate_composition	OPT-190	Waveform fades, header, overlay, routing, scrollbar, selection, slices, surface, and trail composition move with waveform composition.
tests/**	wavecrate_fixture	OPT-191	Wavecrate native-shell compatibility tests stay grouped as fixture relocation unless a surface child explicitly owns one.

